user_id,recency,frequency,user_segment
1,1,0,一般用户
100,1,8,高价值用户
1000,1,0,一般用户
1000001,1,1,一般用户
1000004,1,0,一般用户
1000011,1,2,高价值用户
100002,1,1,一般用户
1000027,1,2,高价值用户
1000028,1,4,高价值用户
1000037,1,5,高价值用户
1000040,1,0,一般用户
1000045,1,0,一般用户
1000054,1,4,高价值用户
1000059,1,0,一般用户
1000060,1,1,一般用户
1000061,1,3,高价值用户
1000070,1,1,一般用户
1000082,1,0,一般用户
1000084,1,7,高价值用户
1000085,1,12,高价值用户
100009,1,2,高价值用户
1000093,1,0,一般用户
1000095,1,0,一般用户
10001,1,0,一般用户
100010,1,0,一般用户
1000103,1,4,高价值用户
1000105,1,0,一般用户
1000106,1,0,一般用户
1000107,1,0,一般用户
1000112,2,0,一般用户
1000114,1,0,一般用户
1000115,1,7,高价值用户
1000134,1,3,高价值用户
1000135,1,1,一般用户
1000139,1,2,高价值用户
1000151,1,3,高价值用户
1000154,1,1,一般用户
1000159,1,0,一般用户
1000161,1,0,一般用户
1000163,1,0,一般用户
1000165,1,2,高价值用户
1000169,1,1,一般用户
1000172,1,0,一般用户
1000186,1,1,一般用户
1000187,1,0,一般用户
1000191,1,5,高价值用户
1000192,1,0,一般用户
1000194,1,1,一般用户
1000204,1,1,一般用户
1000205,1,0,一般用户
1000209,1,3,高价值用户
100021,1,0,一般用户
1000210,1,0,一般用户
1000218,1,0,一般用户
1000222,1,6,高价值用户
1000228,1,5,高价值用户
1000236,1,1,一般用户
1000251,1,3,高价值用户
1000263,1,4,高价值用户
1000269,1,3,高价值用户
1000274,1,2,高价值用户
1000282,1,1,一般用户
1000283,1,1,一般用户
1000291,1,2,高价值用户
1000296,1,1,一般用户
100030,1,4,高价值用户
1000307,1,0,一般用户
1000313,1,5,高价值用户
1000315,1,0,一般用户
1000317,1,2,高价值用户
1000319,1,1,一般用户
1000321,1,0,一般用户
1000326,1,0,一般用户
1000328,1,1,一般用户
1000331,1,0,一般用户
1000332,1,1,一般用户
1000335,1,8,高价值用户
1000349,1,8,高价值用户
1000364,1,1,一般用户
1000374,1,3,高价值用户
100038,1,0,一般用户
1000393,1,0,一般用户
1000398,1,4,高价值用户
1000405,1,0,一般用户
1000408,1,3,高价值用户
1000417,1,11,高价值用户
1000418,1,0,一般用户
1000420,1,1,一般用户
1000423,1,0,一般用户
1000429,1,3,高价值用户
1000431,1,0,一般用户
1000436,1,7,高价值用户
1000438,1,8,高价值用户
1000451,1,0,一般用户
1000455,1,1,一般用户
1000462,1,0,一般用户
1000483,1,0,一般用户
1000485,1,1,一般用户
1000488,1,19,高价值用户
1000490,1,2,高价值用户
1000497,1,1,一般用户
1000504,1,1,一般用户
1000505,1,6,高价值用户
1000511,1,3,高价值用户
1000519,1,2,高价值用户
1000520,1,3,高价值用户
1000521,1,0,一般用户
1000529,1,0,一般用户
1000538,1,2,高价值用户
1000539,1,1,一般用户
1000541,1,1,一般用户
1000546,1,0,一般用户
1000565,1,6,高价值用户
1000570,1,0,一般用户
1000572,2,0,一般用户
1000573,1,2,高价值用户
1000581,1,3,高价值用户
1000588,1,2,高价值用户
1000589,1,0,一般用户
100059,1,1,一般用户
1000590,1,2,高价值用户
1000596,1,3,高价值用户
1000610,1,4,高价值用户
1000615,1,0,一般用户
1000620,1,0,一般用户
1000625,1,0,一般用户
1000630,1,3,高价值用户
1000632,1,0,一般用户
1000633,1,0,一般用户
1000636,1,8,高价值用户
1000641,1,7,高价值用户
1000647,1,1,一般用户
1000650,1,1,一般用户
1000659,1,4,高价值用户
1000664,1,5,高价值用户
1000667,1,0,一般用户
1000676,1,3,高价值用户
100068,1,4,高价值用户
